position,team_id,team_name,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference
1,524,Paris Saint-Germain FC,34,26,6,2,84,92,35,57
2,516,Olympique de Marseille,34,20,5,9,65,74,47,27
3,548,AS Monaco FC,34,18,7,9,61,63,41,22
4,522,OGC Nice,34,17,9,8,60,66,41,25
5,521,Lille OSC,34,17,9,8,60,52,36,16
6,523,Olympique Lyonnais,34,17,6,11,57,65,46,19
7,576,RC Strasbourg Alsace,34,16,9,9,57,56,44,12
8,546,Racing Club de Lens,34,15,7,12,52,42,39,3
9,512,Stade Brestois 29,34,15,5,14,50,52,59,-7
10,511,Toulouse FC,34,11,9,14,42,44,43,1
11,519,AJ Auxerre,34,11,9,14,42,48,51,-3
12,529,Stade Rennais FC 1901,34,13,2,19,41,51,50,1
13,543,FC Nantes,34,8,12,14,36,39,52,-13
14,532,Angers SCO,34,10,6,18,36,32,53,-21
15,533,Le Havre AC,34,10,4,20,34,40,71,-31
16,547,Stade de Reims,34,8,9,17,33,33,47,-14
17,527,AS Saint-Étienne,34,8,6,20,30,39,77,-38
18,518,Montpellier HSC,34,4,4,26,16,23,79,-56
