position,team_id,team_name,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference
1,113,SSC Napoli,37,23,10,4,79,57,27,30
2,108,FC Internazionale Milano,37,23,9,5,78,77,35,42
3,102,Atalanta BC,37,22,8,7,74,76,34,42
4,109,Juventus FC,37,17,16,4,67,55,33,22
5,100,AS Roma,37,19,9,9,66,54,35,19
6,110,SS Lazio,37,18,11,8,65,61,48,13
7,99,ACF Fiorentina,37,18,8,11,62,57,39,18
8,103,Bologna FC 1909,37,16,14,7,62,56,44,12
9,98,AC Milan,37,17,9,11,60,59,43,16
10,7397,Como 1907,37,13,10,14,49,49,50,-1
11,586,Torino FC,37,10,14,13,44,39,43,-4
12,115,Udinese Calcio,37,12,8,17,44,39,53,-14
13,107,Genoa CFC,37,9,13,15,40,34,48,-14
14,104,Cagliari Calcio,37,9,9,19,36,40,54,-14
15,450,Hellas Verona FC,37,9,7,21,34,32,65,-33
16,112,Parma Calcio 1913,37,6,15,16,33,41,56,-15
17,445,Empoli FC,37,6,13,18,31,32,57,-25
18,5890,US Lecce,37,7,10,20,31,26,58,-32
19,454,Venezia FC,37,5,14,18,29,30,53,-23
20,5911,AC Monza,37,3,9,25,18,28,67,-39
